id,lifespan,gdp,country
1,40.49,230.28,Afghanistan
2,69.93,850.46,Albania
3,60.48,2263.43,Algeria
6,41.96,669.72,Angola
7,72.25,2168.82,Antigua and Barbuda
8,70.17,2916.89,Argentina
9,70.83,-9,Armenia
10,-9,11654.96,Aruba
11,75.22,12249.43,Australia
12,73.11,9131.46,Austria
13,69.39,-9,Azerbaijan
14,68.75,7642.86,"Bahamas, The"
15,69.2,10441.15,Bahrain
16,49.71,196.05,Bangladesh
17,72.94,3973.31,Barbados
18,70.9,-9,Belarus
19,73.87,8972.2,Belgium
20,71.47,1190.34,Belize
21,49.4,345.77,Benin
23,-9,116.63,Bhutan
24,53.7,1121.68,Bolivia
25,70.58,-9,Bosnia and Herzegov
26,59.24,952.8,Botswana
27,63.22,2043.03,Brazil
28,71.81,20799.26,Brunei
29,71.38,2227.03,Bulgaria
30,44.77,202.94,Burkina Faso
31,47.2,237.38,Burundi
32,45.01,291.42,Cambodia
33,50.96,979.42,Cameroon
34,75.36,12145.15,Canada
35,61.7,471.49,Cape Verde
37,46.78,266.92,Central African Rep
38,42.96,157.94,Chad
39,74.93,-9,Channel Islands
40,70.72,2197.99,Chile
41,67.81,277.62,China
42,67.19,1554.23,Colombia
43,50.49,271.4,Comoros
44,49.6,439.09,"Congo, Dem. Rep."
45,50.42,1124.42,"Congo, Rep."
46,73.8,1334.48,Costa Rica
47,50.16,821.2,Cote d'Ivoire
48,70.48,-9,Croatia
49,73.96,1647.46,Cuba
50,75.2,3459.55,Cyprus
51,70.74,3628.4,Czech Republic
52,74.34,11296.92,Denmark
53,44.96,961.28,Djibouti
54,71.46,970.16,Dominica
55,65.6,1595.97,Dominican Republic
56,64.5,1733.04,Ecuador
57,56.52,798.55,"Egypt, Arab Rep."
58,57.14,767.26,El Salvador
59,43.96,238.38,Equatorial Guinea
60,43.61,-9,Eritrea
61,69.28,-9,Estonia
62,41.96,112.21,Ethiopia
64,68.95,1791.89,Fiji
65,73.85,10650.5,Finland
66,74.55,10366.14,France
68,-9,7393.77,French Polynesia
69,48.99,4894.01,Gabon
70,40.96,379.84,"Gambia, The"
71,70.86,-9,Georgia
72,73.07,9318.42,Germany
74,54.01,2656.92,Ghana
75,74.8,4788.5,Greece
77,-9,1000.68,Grenada
78,72.46,3416.35,Guadeloupe
79,-9,-9,Guam
80,58.15,1215.06,Guatemala
81,40.49,361.06,Guinea
82,39.36,290.18,Guinea-Bissau
83,61.23,632.44,Guyana
84,51.31,258.35,Haiti
85,61.55,762.76,Honduras
86,75.38,6146.15,"Hong Kong, China"
87,69.56,2417.89,Hungary
88,76.78,13686.28,Iceland
89,55.4,278.05,India
90,56.21,603.33,Indonesia
91,61.16,2865.4,"Iran, Islamic Rep."
92,62.38,2483.73,Iraq
93,73.08,5930.03,Ireland
95,74.46,6958.83,Israel
96,74.97,7107.89,Italy
97,71.21,1506.77,Jamaica
98,76.88,9301.76,Japan
99,64.41,1895.9,Jordan
100,66.79,-9,Kazakhstan
101,55.75,364.53,Kenya
102,51.9,459.19,Kiribati
103,67.72,592.76,"Korea, Dem. Rep."
104,67.72,1897.33,"Korea, Rep."
105,71.6,14348.78,Kuwait
106,-9,-9,Kyrgyz Republic
107,45.96,197.85,Lao PDR
108,69.23,-9,Latvia
109,65,1000.06,Lebanon
110,54.16,263.59,Lesotho
111,51.46,486.18,Liberia
112,62.36,9191.9,Libya
114,70.78,-9,Lithuania
115,73.27,10941.64,Luxembourg
116,73.94,4256.11,Macao
117,-9,-9,"Macedonia, FYR"
118,51.46,297.72,Madagascar
119,44.93,179.37,Malawi
120,67.95,1850.57,Malaysia
121,57.13,377.6,Maldives
122,43.5,166.23,Mali
123,73.5,3367.47,Malta
125,74.15,4078.91,Martinique
126,47.46,488.09,Mauritania
127,66.68,1104.14,Mauritius
129,67.72,2616.68,Mexico
130,-9,1212.6,"Micronesia, Fed. St"
131,65.67,-9,Moldova
133,58.72,1846.89,Mongolia
134,59.51,756.67,Morocco
135,44.41,344.94,Mozambique
136,52.66,171.19,Myanmar
138,53.62,1592.26,Namibia
139,49.12,150.66,Nepal
140,76.07,10127.36,Netherlands
141,73.63,6696.96,Netherlands Antille
142,68.32,6128.73,New Caledonia
143,73.72,7618.72,New Zealand
144,59.48,1004.67,Nicaragua
145,42.46,339.25,Niger
146,46.46,1127.4,Nigeria
147,76.02,14930.03,Norway
148,63.06,6079.5,Oman
149,56.23,358.7,Pakistan
150,57.4,2212.79,Palau
151,70.8,2072.25,Panama
152,51.93,771.87,Papua New Guinea
153,67.05,1770.68,Paraguay
154,61.6,1215.73,Peru
155,61.91,735.12,Philippines
156,71.1,1747.12,Poland
157,72.21,2792.18,Portugal
158,73.91,5270.76,Puerto Rico
159,67.55,27503.9,Qatar
160,69.84,3569.13,Reunion
161,69.53,1527.56,Romania
162,68.02,-9,Russian Federation
163,46.31,285.54,Rwanda
164,62.98,956.08,Samoa
165,-9,534.55,Sao Tome and Princi
166,62.72,12339.81,Saudi Arabia
167,46.25,440.96,Senegal
168,68.68,2259.03,Seychelles
169,35.46,385.39,Sierra Leone
170,71.83,6057.03,Singapore
171,70.69,3016.45,Slovak Republic
172,70.27,-9,Slovenia
173,65.3,665.05,Solomon Islands
174,42.96,402.59,Somalia
175,57.93,2531.15,South Africa
176,75.78,4902.1,Spain
177,69.2,315.45,Sri Lanka
178,63.95,1344.47,St. Kitts and Nevis
179,69.15,1162.77,St. Lucia
180,67.94,825.64,St. Vincent and the
181,49.17,404.29,Sudan
182,67.19,2817.02,Suriname
183,52.64,860.28,Swaziland
184,76.28,12547.12,Sweden
185,76.27,15722.46,Switzerland
186,62.56,1476.21,Syrian Arab Republi
187,72.34,-9,"Taiwan, China"
188,68.18,-9,Tajikistan
189,50.66,312.3,Tanzania
190,65.19,760,Thailand
191,50.21,306.01,Togo
192,62.46,637.29,Tonga
193,68.64,7254.04,Trinidad and Tobago
194,63.09,1192.28,Tunisia
195,62.24,1334.36,Turkey
196,64.17,-9,Turkmenistan
197,48.29,339.79,Uganda
198,69.49,-9,Ukraine
199,69.2,24820.6,United Arab Emirate
200,74.02,8695.08,United Kingdom
201,74.36,13668.44,United States
202,70.97,2984.16,Uruguay
203,67.38,-9,Uzbekistan
204,54.98,797.08,Vanuatu
205,68.78,5151.5,Venezuela
206,64.05,86.02,Vietnam
207,70.93,-9,Virgin Islands (U.S
208,-9,-9,West Bank and Gaza
209,49.73,508.89,"Yemen, Rep."
210,70.09,2562.78,"Yugoslavia, FR (Ser"
211,51.22,719.85,Zambia
212,55.65,878.38,Zimbabwe
