lime rate   ph
AL    0   5.735
AL    0    5.77
AL    0    5.73
AL    0   5.735
AL    0    5.75
AL    1   5.845
AL    1    5.88
AL    1   5.865
AL    1   5.875
AL    1   5.865
AL    2    5.98
AL    2   5.965
AL    2   5.975
AL    2   5.975
AL    2   6.075
AL    4    6.18
AL    4    6.06
AL    4   6.135
AL    4   6.205
AL    4   6.095
AL    8   6.415
AL    8   6.475
AL    8   6.495
AL    8   6.455
AL    8    6.41
GL    0    5.66
GL    0    5.77
GL    0    5.76
GL    0    5.72
GL    0    5.70
GL    1   5.925
GL    1    5.74
GL    1   5.785
GL    1   5.725
GL    1   5.765
GL    2    5.80
GL    2    5.76
GL    2   5.805
GL    2   5.805
GL    2    5.67
GL    4   6.005
GL    4    5.94
GL    4   5.865
GL    4    5.91
GL    4    5.85
GL    8    6.06
GL    8   5.985
GL    8    5.91
GL    8   5.845
GL    8   6.065
