Program	age	score
Food	18.8	25.46286744
Food	20.6	32.16472505
Food	21.7	27.95585358
Food	19.7	30.8381376
Food	18.9	41.31916578
Food	22.2	24.76741079
Food	20.1	26.98691702
Food	20.7	19.60744937
Food	18.3	35.40795472
Food	18.6	14.42193829
Food	18.8	34.85056321
Food	18.3	36.31923417
Animal	21.7	70.00725748
Animal	18.9	67.60813999
Animal	22.3	64.07931438
Animal	23.6	55.80326991
Animal	21.5	59.36105187
Animal	19.6	60.17077225
Animal	22.3	60.80751524
Animal	18.2	70.54893586
Animal	18.6	73.66503258
Animal	22.4	69.56911694
Animal	19.4	77.40291177
Animal	19.3	68.65466907
Plant	23.7	45.63707475
Plant	22.9	58.75104876
Plant	21.4	62.91444799
Plant	22	47.22778221
Plant	20.3	63.50176326
Plant	24.4	50.5780854
Plant	20.7	56.51299681
Plant	20.4	61.25052734
Plant	21.1	66.29879588
Plant	20.6	50.37510495
Plant	24.1	60.22534548
Plant	24.2	58.70142763
