"month","age","type_pill","thrombosis","users"
1,13,2,1,24139
2,13,2,0,23624
3,13,2,0,21613
4,13,2,0,15769
5,13,2,0,15605
6,13,2,0,14758
7,13,2,0,13339
8,13,2,0,13184
9,13,2,0,12235
10,13,2,0,11268
11,13,2,0,11152
12,13,2,0,10429
1,13,3,0,683
2,13,3,0,662
3,13,3,0,595
4,13,3,0,424
5,13,3,0,418
6,13,3,0,377
7,13,3,0,317
8,13,3,0,312
9,13,3,0,286
10,13,3,0,258
11,13,3,0,254
12,13,3,0,233
1,14,2,1,72307
2,14,2,1,71367
3,14,2,1,66562
4,14,2,0,51855
5,14,2,0,51378
6,14,2,0,49033
7,14,2,1,45160
8,14,2,0,44654
9,14,2,0,41881
10,14,2,0,39031
11,14,2,0,38661
12,14,2,0,36301
1,14,3,0,1655
2,14,3,0,1616
3,14,3,0,1485
4,14,3,0,1132
5,14,3,0,1109
6,14,3,0,1025
7,14,3,0,900
8,14,3,0,886
9,14,3,0,832
10,14,3,0,774
11,14,3,0,761
12,14,3,0,701
1,15,2,0,154949
2,15,2,3,153372
3,15,2,1,145073
4,15,2,0,118900
5,15,2,1,117953
6,15,2,1,113192
7,15,2,2,105477
8,15,2,0,104422
9,15,2,0,98615
10,15,2,1,92543
11,15,2,0,91754
12,15,2,0,86490
1,15,3,0,3410
2,15,3,0,3343
3,15,3,0,3102
4,15,3,0,2457
5,15,3,0,2424
6,15,3,0,2238
7,15,3,0,1961
8,15,3,0,1919
9,15,3,0,1794
10,15,3,0,1672
11,15,3,0,1647
12,15,3,0,1518
1,16,2,3,215454
2,16,2,3,213331
3,16,2,0,203262
4,16,2,2,171250
5,16,2,4,170008
6,16,2,4,162761
7,16,2,1,151296
8,16,2,2,150028
9,16,2,2,141996
10,16,2,1,133769
11,16,2,3,132810
12,16,2,0,125009
1,16,3,0,4909
2,16,3,1,4802
3,16,3,1,4506
4,16,3,0,3665
5,16,3,0,3613
6,16,3,0,3338
7,16,3,1,2949
8,16,3,0,2901
9,16,3,0,2732
10,16,3,0,2573
11,16,3,1,2541
12,16,3,0,2364
1,17,2,0,203054
2,17,2,5,200964
3,17,2,4,192117
4,17,2,1,163302
5,17,2,5,162225
6,17,2,2,153778
7,17,2,2,140612
8,17,2,0,139578
9,17,2,2,131770
10,17,2,2,124141
11,17,2,1,123356
12,17,2,2,115377
1,17,3,0,5804
2,17,3,0,5682
3,17,3,1,5373
4,17,3,0,4498
5,17,3,0,4433
6,17,3,0,4035
7,17,3,0,3468
8,17,3,0,3424
9,17,3,0,3241
10,17,3,0,3060
11,17,3,0,3012
12,17,3,0,2746
1,18,2,4,168336
2,18,2,5,166243
3,18,2,4,159222
4,18,2,1,135809
5,18,2,2,135061
6,18,2,0,125458
7,18,2,3,110674
8,18,2,2,109921
9,18,2,2,102607
10,18,2,0,95874
11,18,2,0,95282
12,18,2,3,87387
1,18,3,0,6695
2,18,3,0,6528
3,18,3,0,6239
4,18,3,0,5328
5,18,3,0,5269
6,18,3,0,4691
7,18,3,0,3854
8,18,3,0,3810
9,18,3,1,3582
10,18,3,0,3374
11,18,3,0,3328
12,18,3,0,2991
