"Entity","Code","Year","battery_electric_number","petrol_number","diesel_gas_number","hybrid_number"
"Austria","AUT",2001,0,100754,192734,39
"Austria","AUT",2002,1,84920,194555,17
"Austria","AUT",2003,0,85889,214222,8
"Austria","AUT",2004,0,96388,214771,133
"Austria","AUT",2005,0,119632,187813,460
"Austria","AUT",2006,0,116237,191773,585
"Austria","AUT",2007,0,120534,176881,766
"Austria","AUT",2008,2,131993,161036,665
"Austria","AUT",2009,39,169702,148430,1057
"Austria","AUT",2010,112,158336,168317,1248
"Austria","AUT",2011,633,158142,196065,1304
"Austria","AUT",2012,619,142740,190669,1982
"Austria","AUT",2013,839,134815,180971,2410
"Austria","AUT",2014,1404,127285,172397,2232
"Austria","AUT",2015,1756,123528,180200,3071
"Austria","AUT",2016,3379,132346,188921,4958
"Austria","AUT",2017,5433,165070,175467,7350
"Austria","AUT",2018,6764,185820,140273,8211
"Austria","AUT",2019,8889,175405,130432,14637
"Belgium","BEL",2001,5,186084,302493,48
"Belgium","BEL",2002,4,174240,293223,13
"Belgium","BEL",2003,0,145613,313076,34
"Belgium","BEL",2004,0,145365,339176,135
"Belgium","BEL",2005,0,131015,348515,478
"Belgium","BEL",2006,0,136887,388331,895
"Belgium","BEL",2007,0,119166,404100,1309
"Belgium","BEL",2008,0,111383,422432,1878
"Belgium","BEL",2009,0,115865,357225,1837
"Belgium","BEL",2010,36,129038,413075,4074
"Belgium","BEL",2011,277,134332,430937,6663
"Belgium","BEL",2012,826,145719,335233,4958
"Belgium","BEL",2013,751,164359,315277,5678
"Belgium","BEL",2014,1361,174234,299232,8112
"Belgium","BEL",2015,1625,190013,300324,9104
"Belgium","BEL",2016,2000,241605,279425,16489
"Belgium","BEL",2017,2541,266486,253322,24209
"Belgium","BEL",2018,3648,327133,195268,23583
"Belgium","BEL",2019,8837,340232,173094,27840
"Denmark","DNK",2001,7,78926,17183,0
"Denmark","DNK",2002,1,89296,22919,0
"Denmark","DNK",2003,2,74535,22672,0
"Denmark","DNK",2004,3,91650,30183,10
"Denmark","DNK",2005,2,111155,37016,5
"Denmark","DNK",2006,2,113194,43700,13
"Denmark","DNK",2007,2,97747,65013,14
"Denmark","DNK",2008,5,80167,70429,48
"Denmark","DNK",2009,78,61854,49976,57
"Denmark","DNK",2010,42,82200,70913,146
"Denmark","DNK",2011,457,87895,81416,240
"Denmark","DNK",2012,539,101769,68051,424
"Denmark","DNK",2013,538,122047,57598,1087
"Denmark","DNK",2014,1646,126841,59363,1218
"Denmark","DNK",2015,4478,136184,64212,2515
"Denmark","DNK",2016,1173,135377,80114,6478
"Denmark","DNK",2017,712,135614,78024,7800
"Denmark","DNK",2018,1551,132652,72606,12305
"Denmark","DNK",2019,5526,143199,60788,17166
"Europe","",2019,341267,NA,NA,NA
"Europe","",2020,720913,NA,NA,NA
"Finland","FIN",2001,0,91191,18231,0
"Finland","FIN",2002,0,98551,18460,0
"Finland","FIN",2003,0,125027,22078,0
"Finland","FIN",2004,0,120442,21798,63
"Finland","FIN",2005,0,122947,24731,62
"Finland","FIN",2006,0,115893,29231,109
"Finland","FIN",2007,0,89602,35247,149
"Finland","FIN",2008,5,69570,68648,847
"Finland","FIN",2009,1,47665,41815,780
"Finland","FIN",2010,14,63780,46469,1123
"Finland","FIN",2011,30,71419,53584,1136
"Finland","FIN",2012,105,65647,44101,1439
"Finland","FIN",2013,219,62094,38920,2260
"Finland","FIN",2014,201,61708,41796,2576
"Finland","FIN",2015,244,66352,38986,3267
"Finland","FIN",2016,213,73446,39487,5893
"Finland","FIN",2017,486,71116,36086,10962
"Finland","FIN",2018,775,74987,28988,15807
"Finland","FIN",2019,1897,70316,21958,20075
"France","FRA",2001,407,986491,1267750,84
"France","FRA",2002,233,793425,1351362,51
"France","FRA",2003,113,655678,1353419,36
"France","FRA",2004,460,619675,1392905,669
"France","FRA",2005,6,641022,1423906,2855
"France","FRA",2006,13,565984,1428153,6413
"France","FRA",2007,6,528838,1528994,7161
"France","FRA",2008,4,454253,1587575,8451
"France","FRA",2009,10,657107,1575944,9833
"France","FRA",2010,184,639025,1554298,9634
"France","FRA",2011,2654,581470,1568874,12805
"France","FRA",2012,5913,471131,1358560,24920
"France","FRA",2013,9159,532810,1167972,46310
"France","FRA",2014,10980,591847,1119957,42444
"France","FRA",2015,17771,737645,1083830,46322
"France","FRA",2016,21553,876159,1031410,54607
"France","FRA",2017,24967,1011050,998972,75873
"France","FRA",2018,31095,1198926,846023,97534
"France","FRA",2019,42829,1283191,768825,113715
"Germany","DEU",2001,56,2185247,1155300,606
"Germany","DEU",2002,19,2016224,1235960,135
"Germany","DEU",2003,17,1945639,1290602,260
"Germany","DEU",2004,10,1827287,1437677,1704
"Germany","DEU",2005,18,1912265,1424847,3578
"Germany","DEU",2006,3,1926089,1535170,5227
"Germany","DEU",2007,6,1639160,1499897,7515
"Germany","DEU",2008,5,1722202,1359930,6152
"Germany","DEU",2009,152,2628234,1153083,8095
"Germany","DEU",2010,380,1681642,1185746,10022
"Germany","DEU",2011,2204,1660602,1498959,11708
"Germany","DEU",2012,3572,1569937,1488562,20281
"Germany","DEU",2013,7363,1516551,1403903,24441
"Germany","DEU",2014,9583,1547963,1453187,25896
"Germany","DEU",2015,12428,1621389,1543114,28988
"Germany","DEU",2016,11457,1752505,1540989,46518
"Germany","DEU",2017,25139,2001940,1336846,77198
"Germany","DEU",2018,36151,2175797,1112597,111056
"Germany","DEU",2019,63461,2120699,1222769,200102
"Greece","GRC",2001,0,277814,2480,0
"Greece","GRC",2002,0,266450,2035,4
"Greece","GRC",2003,0,253210,4079,4
"Greece","GRC",2004,0,281443,8195,112
"Greece","GRC",2005,0,265442,4035,227
"Greece","GRC",2006,0,261315,5796,533
"Greece","GRC",2007,0,270541,8087,1105
"Greece","GRC",2008,0,255331,9548,2336
"Greece","GRC",2009,1,211616,7160,1676
