"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"1","United Surveys","WP.pl","2023-10-20","2023-10-22","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,30.9,5.6,NA,6.7,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA
"2","IBSP","StanPolityki.pl","2023-10-11","2023-10-13","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,27.8,10.3,NA,8.3,2.2,NA,NA,NA,NA,NA,13,NA,1,NA
"3","PGB Opinium","","2023-10-11","2023-10-12","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,30.6,11.6,NA,8.5,3.1,NA,NA,NA,NA,NA,11.9,NA,NA,NA
"4","Instytut Badań Pollster","SE.pl","2023-10-11","2023-10-12","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,31.4,10.5,NA,8.7,1.5,NA,NA,NA,NA,NA,10.7,NA,0.9,NA
"5","Kantar","Fakty TVN and TVN24","2023-10-10","2023-10-12","National","1702","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28,13,NA,9,3,NA,NA,NA,NA,NA,12,NA,NA,NA
"6","IBRiS","Onet.pl","2023-10-10","2023-10-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,30.1,10.7,NA,8.9,1.5,NA,NA,NA,NA,NA,11,NA,0.4,NA
"7","IBRiS","Rzeczpospolita","2023-10-09","2023-10-10","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30.1,10.9,NA,9.9,1,NA,NA,NA,NA,NA,11.7,NA,NA,NA
"8","Social Changes","wPolityce.pl","2023-10-09","2023-10-10","National","1094","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,28,9,NA,11,2,NA,NA,NA,NA,NA,12,NA,NA,NA
"9","United Surveys","WP.pl","2023-10-08","2023-10-10","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,30.5,11.1,NA,9.1,2.1,NA,NA,NA,NA,NA,10.2,NA,0.4,NA
"10","Ipsos","OKO.press and TOK FM","2023-10-06","2023-10-10","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,31,9,NA,10,2,NA,NA,NA,NA,NA,9,NA,NA,NA
"11","Research Partner","Ariadna","2023-10-06","2023-10-09","National","1084","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,29.2,9.6,NA,9.7,2.9,NA,NA,NA,NA,NA,9.1,NA,NA,NA
"12","Instytut Badań Pollster","SE.pl","2023-10-06","2023-10-07","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,30,8.2,NA,10.5,1.6,NA,NA,NA,NA,NA,11.8,NA,0.9,NA
"13","IBRiS","Wydarzenia","2023-10-05","2023-10-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,30.4,12.4,NA,8.4,2,NA,NA,NA,NA,NA,8.3,NA,0.9,NA
"14","Estymator","DoRzeczy.pl","2023-10-05","2023-10-06","National","1060","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,30.5,9.3,NA,9.6,3.4,NA,NA,NA,NA,NA,9.4,NA,NA,NA
"15","PGB Opinium","","2023-10-03","2023-10-04","National","1042","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,32.3,10.1,NA,8.9,3.3,NA,NA,NA,NA,NA,11.6,NA,NA,NA
"16","IBRiS","Onet.pl","2023-10-03","2023-10-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,30.4,10.5,NA,10.2,1.7,NA,NA,NA,NA,NA,11.1,NA,0.4,NA
"17","Opinia24","Gazeta Wyborcza","2023-10-03","2023-10-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,32,12,NA,6,3,NA,NA,NA,NA,NA,8,NA,NA,NA
"18","Kantar","Fakty TVN and TVN24","2023-10-02","2023-10-04","National","1500","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,32,11,NA,8,2,NA,NA,NA,NA,NA,9,NA,NA,NA
"19","United Surveys","DGP and RMF FM","2023-10-02","2023-10-02","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,29.7,10.7,NA,10.5,3.7,NA,NA,NA,NA,NA,11.6,NA,0,NA
"20","Social Changes","wPolityce.pl","2023-09-29","2023-10-02","National","1073","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,9,NA,10,2,NA,NA,NA,NA,NA,8,NA,NA,NA
"21","United Surveys","WP.pl","2023-09-30","2023-10-01","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,28.9,8.9,NA,9.8,3.9,NA,NA,NA,NA,NA,13.2,NA,0,NA
"22","Estymator","DoRzeczy.pl","2023-09-29","2023-09-30","National","1051","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,30.6,8.7,NA,9.6,3.6,NA,NA,NA,NA,NA,9.6,NA,NA,NA
"23","IBRiS","Onet.pl","2023-09-27","2023-09-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,28.6,10.7,NA,10.1,2.1,NA,NA,NA,NA,NA,11,NA,0.3,NA
"24","Social Changes","wPolityce.pl","2023-09-22","2023-09-25","National","1052","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,9,NA,10,2,NA,NA,NA,NA,NA,9,NA,NA,NA
"25","Ipsos","OKO.press and TOK FM","2023-09-22","2023-09-25","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,33,11.1,NA,7.7,1.3,NA,NA,NA,NA,NA,8.7,NA,NA,NA
"26","United Surveys","WP.pl","2023-09-22","2023-09-24","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,30.5,9.4,NA,9.6,3.9,NA,NA,NA,NA,NA,9.8,NA,0.1,NA
"27","Estymator","DoRzeczy.pl","2023-09-22","2023-09-23","National","1054","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,29.8,8.5,NA,10.6,3.7,NA,NA,NA,NA,NA,9.9,NA,NA,NA
